"nr";"year";"black";"exper";"hisp";"hours";"married";"occ1";"occ2";"occ3";"occ4";"occ5";"occ6";"occ7";"occ8";"occ9";"educ";"union";"lwage";"d81";"d82";"d83";"d84";"d85";"d86";"d87";"expersq"
18;1983;0;7;0;2474;1;0;0;1;0;0;0;0;0;0;12;0;1,99822902679443;0;0;1;0;0;0;0;49
18;1984;0;8;0;2362;1;0;0;1;0;0;0;0;0;0;12;0;2,18401408195496;0;0;0;1;0;0;0;64
18;1985;0;9;0;2340;1;0;0;1;0;0;0;0;0;0;12;0;2,26666188240051;0;0;0;0;1;0;0;81
18;1986;0;10;0;2340;1;0;0;1;0;0;0;0;0;0;12;0;2,06994390487671;0;0;0;0;0;1;0;100
18;1987;0;11;0;2340;1;0;0;1;0;0;0;0;0;0;12;0;2,87316107749939;0;0;0;0;0;0;1;121
45;1980;0;2;0;1864;0;0;0;0;0;0;0;1;0;0;12;1;1,89411497116089;0;0;0;0;0;0;0;4
45;1981;0;3;0;2021;0;0;0;0;0;0;1;0;0;0;12;1;1,47115898132324;1;0;0;0;0;0;0;9
45;1982;0;4;0;2274;0;0;0;0;0;0;1;0;0;0;12;0;1,47349798679352;0;1;0;0;0;0;0;16
45;1983;0;5;0;2112;0;0;0;0;0;0;1;0;0;0;12;0;1,74091398715973;0;0;1;0;0;0;0;25
45;1984;0;6;0;1920;0;0;0;0;0;0;1;0;0;0;12;0;1,82321405410767;0;0;0;1;0;0;0;36
45;1985;0;7;0;2205;0;0;0;0;0;0;1;0;0;0;12;0;1,90827298164368;0;0;0;0;1;0;0;49
45;1986;0;8;0;2551;0;0;0;0;1;0;0;0;0;0;12;0;1,74244701862335;0;0;0;0;0;1;0;64
45;1987;0;9;0;2860;1;0;0;0;1;0;0;0;0;0;12;0;2,13568902015686;0;0;0;0;0;0;1;81
110;1980;0;5;0;2080;0;0;0;0;1;0;0;0;0;0;12;1;1,94877505302429;0;0;0;0;0;0;0;25
110;1981;0;6;0;2080;0;0;0;0;1;0;0;0;0;0;12;0;1,96225905418396;1;0;0;0;0;0;0;36
110;1982;0;7;0;2639;0;0;1;0;0;0;0;0;0;0;12;0;1,96329700946808;0;1;0;0;0;0;0;49
110;1983;0;8;0;2223;0;0;1;0;0;0;0;0;0;0;12;0;2,20251607894897;0;0;1;0;0;0;0;64
110;1984;0;9;0;2150;1;1;0;0;0;0;0;0;0;0;12;0;2,13495397567749;0;0;0;1;0;0;0;81
110;1985;0;10;0;1532;1;1;0;0;0;0;0;0;0;0;12;0;2,12582302093506;0;0;0;0;1;0;0;100
110;1986;0;11;0;2080;1;0;0;0;1;0;0;0;0;0;12;0;1,9910169839859;0;0;0;0;0;1;0;121
110;1987;0;12;0;2080;1;0;0;0;1;0;0;0;0;0;12;0;2,11239290237427;0;0;0;0;0;0;1;144
120;1980;0;2;0;1025;0;0;0;0;0;0;0;0;0;1;10;0;0,258554905653;0;0;0;0;0;0;0;4
120;1981;0;3;0;1496;0;0;0;0;0;0;0;0;0;1;10;0;1,31997203826904;1;0;0;0;0;0;0;9
120;1982;0;4;0;1394;0;0;0;0;0;0;0;0;0;1;10;0;1,46208500862122;0;1;0;0;0;0;0;16
120;1983;0;5;0;2924;0;0;0;0;0;0;0;0;0;1;10;0;1,32028698921204;0;0;1;0;0;0;0;25
120;1984;0;6;0;3564;0;0;0;0;0;0;0;0;0;1;10;0;1,70364701747894;0;0;0;1;0;0;0;36
120;1985;0;7;0;3979;0;0;0;0;0;0;0;0;0;1;10;0;1,4458030462265;0;0;0;0;1;0;0;49
120;1986;0;8;0;4351;0;0;0;0;1;0;0;0;0;0;10;0;1,80636405944824;0;0;0;0;0;1;0;64
120;1987;0;9;0;3568;0;0;0;0;1;0;0;0;0;0;10;0;2,14811992645264;0;0;0;0;0;0;1;81
126;1980;0;2;0;3115;0;0;0;1;0;0;0;0;0;0;13;0;1,73728501796722;0;0;0;0;0;0;0;4
126;1981;0;3;0;2735;0;0;1;0;0;0;0;0;0;0;13;0;1,98960101604462;1;0;0;0;0;0;0;9
126;1982;0;4;0;2390;0;0;1;0;0;0;0;0;0;0;13;0;2,18991708755493;0;1;0;0;0;0;0;16
126;1983;0;5;0;2340;0;0;0;1;0;0;0;0;0;0;13;0;1,8554630279541;0;0;1;0;0;0;0;25
126;1984;0;6;0;2250;0;0;0;1;0;0;0;0;0;0;13;0;1,92243802547455;0;0;0;1;0;0;0;36
126;1985;0;7;0;2340;1;0;0;1;0;0;0;0;0;0;13;0;2,06102395057678;0;0;0;0;1;0;0;49
126;1986;0;8;0;2941;1;0;0;1;0;0;0;0;0;0;13;0;1,78220200538635;0;0;0;0;0;1;0;64
126;1987;0;9;0;2847;1;0;1;0;0;0;0;0;0;0;13;0;2,41468191146851;0;0;0;0;0;0;1;81
150;1980;0;2;0;1876;0;0;0;0;0;0;1;0;0;0;12;0;1,20873498916626;0;0;0;0;0;0;0;4
150;1981;0;3;0;2327;0;0;0;0;0;0;1;0;0;0;12;0;1,19403994083405;1;0;0;0;0;0;0;9
150;1982;0;4;0;2006;0;0;0;0;0;0;1;0;0;0;12;0;1,17044103145599;0;1;0;0;0;0;0;16
150;1983;0;5;0;1826;0;0;0;0;0;0;1;0;0;0;12;0;1,09796500205994;0;0;1;0;0;0;0;25
150;1984;0;6;0;3414;0;0;0;0;0;0;0;0;0;1;12;0;0,765816211700439;0;0;0;1;0;0;0;36
150;1985;0;7;0;3928;0;0;0;0;0;0;0;0;0;1;12;0;1,11902594566345;0;0;0;0;1;0;0;49
150;1986;0;8;0;4000;0;0;0;0;0;0;1;0;0;0;12;0;1,11936700344086;0;0;0;0;0;1;0;64
150;1987;0;9;0;4992;0;0;0;0;0;0;0;0;0;1;12;1;0,831459522247314;0;0;0;0;0;0;1;81
162;1980;0;2;0;1874;0;0;0;0;1;0;0;0;0;0;11;1;0,502470076084137;0;0;0;0;0;0;0;4
162;1981;0;3;0;1710;0;0;0;0;1;0;0;0;0;0;11;0;1,06491196155548;1;0;0;0;0;0;0;9
162;1982;0;4;0;1488;0;0;0;1;0;0;0;0;0;0;11;0;1,18949794769287;0;1;0;0;0;0;0;16
162;1983;0;5;0;939;0;0;0;0;0;0;0;1;0;0;11;0;1,53988897800446;0;0;1;0;0;0;0;25
162;1984;0;6;0;1980;0;0;1;0;0;0;0;0;0;0;11;0;1,5982860326767;0;0;0;1;0;0;0;36
162;1985;0;7;0;2735;0;0;1;0;0;0;0;0;0;0;11;0;1,73732101917267;0;0;0;0;1;0;0;49
162;1986;0;8;0;2720;0;0;1;0;0;0;0;0;0;0;11;0;1,98845601081848;0;0;0;0;0;1;0;64
162;1987;0;9;0;2795;0;0;1;0;0;0;0;0;0;0;11;0;2,15867900848389;0;0;0;0;0;0;1;81
166;1980;0;2;0;1296;0;0;0;0;0;0;0;1;0;0;10;1;1,00529396533966;0;0;0;0;0;0;0;4
166;1981;0;3;0;1942;0;0;0;0;0;0;0;1;0;0;10;1;0,937687397003174;1;0;0;0;0;0;0;9
166;1982;0;4;0;1245;0;0;0;0;0;0;0;1;0;0;10;1;1,36748802661896;0;1;0;0;0;0;0;16
166;1983;0;5;0;1196;0;0;0;0;1;0;0;0;0;0;10;1;1,37800896167755;0;0;1;0;0;0;0;25
166;1984;0;6;0;2387;0;0;0;0;1;0;0;0;0;0;10;1;1,17018401622772;0;0;0;1;0;0;0;36
166;1985;0;7;0;2160;0;0;0;0;0;1;0;0;0;0;10;0;1,72822105884552;0;0;0;0;1;0;0;49
166;1986;0;8;0;2336;1;0;1;0;0;0;0;0;0;0;10;0;1,70986497402191;0;0;0;0;0;1;0;64
166;1987;0;9;0;2301;1;0;0;0;0;1;0;0;0;0;10;0;1,85107505321503;0;0;0;0;0;0;1;81
189;1980;0;2;0;520;0;0;0;0;1;0;0;0;0;0;14;0;1,13054502010345;0;0;0;0;0;0;0;4
189;1981;0;3;0;520;0;0;0;0;1;0;0;0;0;0;14;0;0,836247980594635;1;0;0;0;0;0;0;9
189;1982;0;4;0;520;0;0;0;0;1;0;0;0;0;0;14;0;1,46736001968384;0;1;0;0;0;0;0;16
189;1983;0;5;0;520;0;0;0;1;0;0;0;0;0;0;14;0;1,07148396968842;0;0;1;0;0;0;0;25
189;1984;0;6;0;1400;0;0;0;0;1;0;0;0;0;0;14;0;1,44591999053955;0;0;0;1;0;0;0;36
189;1985;0;7;0;1754;0;0;0;1;0;0;0;0;0;0;14;0;1,68511605262756;0;0;0;0;1;0;0;49
189;1986;0;8;0;1840;0;0;0;0;1;0;0;0;0;0;14;0;1,68617498874664;0;0;0;0;0;1;0;64
189;1987;0;9;0;1872;0;0;0;0;1;0;0;0;0;0;14;0;1,75513005256653;0;0;0;0;0;0;1;81
193;1980;0;2;0;980;0;1;0;0;0;0;0;0;0;0;14;0;1,56569194793701;0;0;0;0;0;0;0;4
193;1981;0;3;0;925;0;1;0;0;0;0;0;0;0;0;14;0;2,49387502670288;1;0;0;0;0;0;0;9
193;1982;0;4;0;2187;0;1;0;0;0;0;0;0;0;0;14;0;1,82266199588776;0;1;0;0;0;0;0;16
193;1983;0;5;0;2080;0;1;0;0;0;0;0;0;0;0;14;0;2,38033604621887;0;0;1;0;0;0;0;25
193;1984;0;6;0;2346;0;1;0;0;0;0;0;0;0;0;14;0;2,21712899208069;0;0;0;1;0;0;0;36
193;1985;0;7;0;2487;1;1;0;0;0;0;0;0;0;0;14;0;2,2720320224762;0;0;0;0;1;0;0;49
193;1986;0;8;0;2328;1;1;0;0;0;0;0;0;0;0;14;0;2,35379910469055;0;0;0;0;0;1;0;64
193;1987;0;9;0;2132;1;1;0;0;0;0;0;0;0;0;14;0;2,42945003509521;0;0;0;0;0;0;1;81
209;1980;0;3;0;2340;0;0;0;0;0;0;0;0;0;1;11;0;1,9180029630661;0;0;0;0;0;0;0;9
209;1981;0;4;0;1935;0;0;0;0;0;0;0;0;0;1;11;0;0,765407681465149;1;0;0;0;0;0;0;16
209;1982;0;5;0;2080;0;0;0;0;0;0;0;0;0;1;11;0;1,97818505764008;0;1;0;0;0;0;0;25
209;1983;0;6;0;2080;0;0;0;0;0;0;0;0;0;1;11;0;1,94855403900146;0;0;1;0;0;0;0;36
209;1984;0;7;0;2280;0;0;0;0;0;0;0;0;0;1;11;0;2,03702592849731;0;0;0;1;0;0;0;49
209;1985;0;8;0;2520;0;0;1;0;0;0;0;0;0;0;11;0;1,90257501602173;0;0;0;0;1;0;0;64
209;1986;0;9;0;2395;0;0;1;0;0;0;0;0;0;0;11;0;1,97260403633118;0;0;0;0;0;1;0;81
209;1987;0;10;0;2145;0;0;1;0;0;0;0;0;0;0;11;0;2,18698191642761;0;0;0;0;0;0;1;100
212;1980;0;2;0;2080;0;0;0;0;0;1;0;0;0;0;11;0;1,78447198867798;0;0;0;0;0;0;0;4
212;1981;0;3;0;2080;0;0;0;0;0;0;1;0;0;0;11;0;2,17998290061951;1;0;0;0;0;0;0;9
212;1982;0;4;0;2110;0;0;0;0;0;0;1;0;0;0;11;1;1,96386504173279;0;1;0;0;0;0;0;16
212;1983;0;5;0;2550;0;0;0;0;0;0;1;0;0;0;11;0;2,04493308067322;0;0;1;0;0;0;0;25
212;1984;0;6;0;2560;0;0;0;0;1;0;0;0;0;0;11;0;2,01286101341248;0;0;0;1;0;0;0;36
212;1985;0;7;0;2704;0;0;0;0;0;0;1;0;0;0;11;0;2,09698605537415;0;0;0;0;1;0;0;49
212;1986;0;8;0;2856;1;0;0;0;0;0;1;0;0;0;11;0;2,14396595954895;0;0;0;0;0;1;0;64
212;1987;0;9;0;2912;1;0;0;0;0;0;1;0;0;0;11;1;2,24128389358521;0;0;0;0;0;0;1;81
218;1980;0;2;0;2080;0;1;0;0;0;0;0;0;0;0;15;0;2,01331305503845;0;0;0;0;0;0;0;4
218;1981;0;3;0;2530;0;1;0;0;0;0;0;0;0;0;15;0;1,96215200424194;1;0;0;0;0;0;0;9
218;1982;0;4;0;2240;0;0;0;0;1;0;0;0;0;0;15;0;2,27564096450806;0;1;0;0;0;0;0;16
218;1983;0;5;0;2520;1;1;0;0;0;0;0;0;0;0;15;0;2,19491791725159;0;0;1;0;0;0;0;25
218;1984;0;6;0;2405;1;1;0;0;0;0;0;0;0;0;15;0;2,42833709716797;0;0;0;1;0;0;0;36
218;1985;0;7;0;2130;1;0;0;0;1;0;0;0;0;0;15;0;2,72303700447083;0;0;0;0;1;0;0;49
218;1986;0;8;0;2080;1;0;1;0;0;0;0;0;0;0;15;0;2,96639609336853;0;0;0;0;0;1;0;64
218;1987;0;9;0;2080;1;0;1;0;0;0;0;0;0;0;15;0;3,0650520324707;0;0;0;0;0;0;1;81
243;1980;0;4;0;2000;0;0;0;0;0;1;0;0;0;0;12;0;1,56418097019196;0;0;0;0;0;0;0;16
243;1981;0;5;0;2080;0;0;1;0;0;0;0;0;0;0;12;0;1,68354594707489;1;0;0;0;0;0;0;25
243;1982;0;6;0;2080;0;0;1;0;0;0;0;0;0;0;12;0;1,69050300121307;0;1;0;0;0;0;0;36
243;1983;0;7;0;2080;1;0;1;0;0;0;0;0;0;0;12;0;1,66087198257446;0;0;1;0;0;0;0;49
243;1984;0;8;0;2080;1;0;1;0;0;0;0;0;0;0;12;0;1,69805097579956;0;0;0;1;0;0;0;64
243;1985;0;9;0;2168;1;0;1;0;0;0;0;0;0;0;12;0;1,67176795005798;0;0;0;0;1;0;0;81
243;1986;0;10;0;2161;1;0;1;0;0;0;0;0;0;0;12;0;1,63571798801422;0;0;0;0;0;1;0;100
243;1987;0;11;0;2080;1;0;1;0;0;0;0;0;0;0;12;0;1,78697097301483;0;0;0;0;0;0;1;121
259;1980;0;3;0;1984;1;0;0;0;0;1;0;0;0;0;12;1;2,10718989372253;0;0;0;0;0;0;0;9
259;1981;0;4;0;2080;1;0;0;0;0;1;0;0;0;0;12;1;2,0890109539032;1;0;0;0;0;0;0;16
259;1982;0;5;0;1755;1;0;0;0;0;1;0;0;0;0;12;1;2,04272389411926;0;1;0;0;0;0;0;25
259;1983;0;6;0;3157;1;0;0;0;0;1;0;0;0;0;12;1;1,30815601348877;0;0;1;0;0;0;0;36
259;1984;0;7;0;2100;1;0;0;0;0;0;1;0;0;0;12;0;1,48815202713013;0;0;0;1;0;0;0;49
259;1985;0;8;0;2080;1;0;0;0;0;0;1;0;0;0;12;0;1,54281795024872;0;0;0;0;1;0;0;64
259;1986;0;9;0;2996;1;0;0;0;0;1;0;0;0;0;12;0;1,53513503074646;0;0;0;0;0;1;0;81
259;1987;0;10;0;3243;1;0;0;0;0;0;1;0;0;0;12;0;1,45433604717255;0;0;0;0;0;0;1;100
260;1980;0;2;0;815;0;0;0;0;1;0;0;0;0;0;11;1;1,62991201877594;0;0;0;0;0;0;0;4
260;1981;0;3;0;1898;0;0;0;0;0;0;0;1;0;0;11;1;1,77511298656464;1;0;0;0;0;0;0;9
260;1982;0;4;0;2208;0;0;0;0;0;0;1;0;0;0;11;0;1,96725594997406;0;1;0;0;0;0;0;16
260;1983;0;5;0;2080;1;1;0;0;0;0;0;0;0;0;11;0;2,07518601417542;0;0;1;0;0;0;0;25
260;1984;0;6;0;2080;1;1;0;0;0;0;0;0;0;0;11;0;2,12883400917053;0;0;0;1;0;0;0;36
260;1985;0;7;0;2080;1;1;0;0;0;0;0;0;0;0;11;0;2,26841902732849;0;0;0;0;1;0;0;49
260;1986;0;8;0;2710;1;0;0;0;0;0;1;0;0;0;11;0;1,99213898181915;0;0;0;0;0;1;0;64
260;1987;0;9;0;2262;1;0;0;0;0;1;0;0;0;0;11;0;2,42155504226685;0;0;0;0;0;0;1;81
309;1980;0;3;0;3560;0;0;0;0;0;0;1;0;0;0;12;0;1,78607594966888;0;0;0;0;0;0;0;9
309;1981;0;4;0;2780;0;0;0;0;0;0;1;0;0;0;12;0;2,28076601028442;1;0;0;0;0;0;0;16
309;1982;0;5;0;2500;0;0;0;0;0;0;1;0;0;0;12;0;2,26426601409912;0;1;0;0;0;0;0;25
309;1983;0;6;0;2400;1;0;0;0;0;1;0;0;0;0;12;0;2,27545595169067;0;0;1;0;0;0;0;36
309;1984;0;7;0;2690;1;0;0;0;0;0;1;0;0;0;12;0;2,20813298225403;0;0;0;1;0;0;0;49
309;1985;0;8;0;3070;1;0;0;0;0;1;0;0;0;0;12;0;2,19985198974609;0;0;0;0;1;0;0;64
309;1986;0;9;0;2915;1;0;0;0;0;0;1;0;0;0;12;0;2,20689988136292;0;0;0;0;0;1;0;81
309;1987;0;10;0;2670;1;0;0;0;0;0;1;0;0;0;12;0;2,47686696052551;0;0;0;0;0;0;1;100
351;1980;0;3;0;2053;0;0;0;0;1;0;0;0;0;0;12;0;1,6433869600296;0;0;0;0;0;0;0;9
351;1981;0;4;0;1998;0;0;0;0;1;0;0;0;0;0;12;0;1,33557999134064;1;0;0;0;0;0;0;16
351;1982;0;5;0;1853;1;0;0;0;1;0;0;0;0;0;12;0;1,5228179693222;0;1;0;0;0;0;0;25
351;1983;0;6;0;1943;1;0;0;0;1;0;0;0;0;0;12;0;1,41885101795197;0;0;1;0;0;0;0;36
351;1984;0;7;0;1416;1;0;0;0;1;0;0;0;0;0;12;0;0,903927385807037;0;0;0;1;0;0;0;49
351;1985;0;8;0;1840;1;0;0;0;1;0;0;0;0;0;12;0;1,88856399059296;0;0;0;0;1;0;0;64
351;1986;0;9;0;3005;1;1;0;0;0;0;0;0;0;0;12;0;1,78345000743866;0;0;0;0;0;1;0;81
351;1987;0;10;0;2565;1;1;0;0;0;0;0;0;0;0;12;0;1,69800794124603;0;0;0;0;0;0;1;100
353;1980;0;3;0;2112;0;0;0;0;0;0;1;0;0;0;12;0;1,83819699287415;0;0;0;0;0;0;0;9
353;1981;0;4;0;2080;0;0;0;0;0;0;1;0;0;0;12;1;1,8170770406723;1;0;0;0;0;0;0;16
353;1982;0;5;0;2310;0;0;0;0;0;1;0;0;0;0;12;0;1,67174005508423;0;1;0;0;0;0;0;25
353;1983;0;6;0;2120;0;0;0;0;0;0;1;0;0;0;12;0;1,57283103466034;0;0;1;0;0;0;0;36
353;1984;0;7;0;2080;0;0;0;0;0;1;0;0;0;0;12;0;1,68254601955414;0;0;0;1;0;0;0;49
353;1985;0;8;0;2080;0;0;0;0;0;1;0;0;0;0;12;0;1,58363997936249;0;0;0;0;1;0;0;64
353;1986;0;9;0;2080;0;0;0;0;0;1;0;0;0;0;12;0;1,77329301834106;0;0;0;0;0;1;0;81
353;1987;0;10;0;2080;0;0;0;0;0;1;0;0;0;0;12;0;1,86107897758484;0;0;0;0;0;0;1;100
383;1980;1;2;0;2080;0;0;0;0;0;0;1;0;0;0;12;0;1,46288800239563;0;0;0;0;0;0;0;4
383;1981;1;3;0;2080;0;0;0;0;0;0;1;0;0;0;12;0;1,57021701335907;1;0;0;0;0;0;0;9
383;1982;1;4;0;2080;0;0;0;0;0;0;1;0;0;0;12;1;1,65660202503204;0;1;0;0;0;0;0;16
383;1983;1;5;0;2080;0;0;0;0;1;0;0;0;0;0;12;0;1,72540998458862;0;0;1;0;0;0;0;25
383;1984;1;6;0;2080;0;0;0;0;1;0;0;0;0;0;12;0;1,77215898036957;0;0;0;1;0;0;0;36
383;1985;1;7;0;2080;0;0;0;0;0;1;0;0;0;0;12;0;2,01108407974243;0;0;0;0;1;0;0;49
383;1986;1;8;0;2080;0;0;0;0;0;1;0;0;0;0;12;0;1,9910169839859;0;0;0;0;0;1;0;64
383;1987;1;9;0;2080;0;0;0;0;0;1;0;0;0;0;12;0;1,95205104351044;0;0;0;0;0;0;1;81
408;1980;0;2;0;2120;0;0;0;0;0;1;0;0;0;0;11;0;1,65209496021271;0;0;0;0;0;0;0;4
408;1981;0;3;0;2295;1;0;0;0;0;0;1;0;0;0;11;0;1,48953497409821;1;0;0;0;0;0;0;9
408;1982;0;4;0;2120;1;0;0;0;0;1;0;0;0;0;11;0;1,88117599487305;0;1;0;0;0;0;0;16
408;1983;0;5;0;2184;1;0;0;0;0;1;0;0;0;0;11;0;2,06103205680847;0;0;1;0;0;0;0;25
408;1984;0;6;0;2496;1;0;0;0;0;1;0;0;0;0;11;1;2,48883605003357;0;0;0;1;0;0;0;36
408;1985;0;7;0;2496;1;0;0;0;0;1;0;0;0;0;11;1;2,43093800544739;0;0;0;0;1;0;0;49
408;1986;0;8;0;1838;1;0;0;0;0;1;0;0;0;0;11;1;2,53455996513367;0;0;0;0;0;1;0;64
408;1987;0;9;0;3176;1;0;0;0;0;1;0;0;0;0;11;1;2,06960201263428;0;0;0;0;0;0;1;81
424;1980;0;5;0;2080;1;0;0;0;0;1;0;0;0;0;12;0;2,16583895683289;0;0;0;0;0;0;0;25
424;1981;0;6;0;2080;1;0;0;0;0;1;0;0;0;0;12;0;2,32540011405945;1;0;0;0;0;0;0;36
424;1982;0;7;0;2080;1;0;0;0;0;1;0;0;0;0;12;0;2,3836510181427;0;1;0;0;0;0;0;49
424;1983;0;8;0;2080;1;0;0;0;0;0;1;0;0;0;12;0;2,33721208572388;0;0;1;0;0;0;0;64
424;1984;0;9;0;2080;1;0;0;0;0;1;0;0;0;0;12;0;2,41250801086426;0;0;0;1;0;0;0;81
424;1985;0;10;0;2080;1;0;0;0;0;1;0;0;0;0;12;0;2,38414597511292;0;0;0;0;1;0;0;100
424;1986;0;11;0;2080;1;0;0;0;0;1;0;0;0;0;12;0;2,35203003883362;0;0;0;0;0;1;0;121
424;1987;0;12;0;2080;1;0;0;0;0;1;0;0;0;0;12;0;2,57775688171387;0;0;0;0;0;0;1;144
464;1980;0;2;0;3279;0;0;1;0;0;0;0;0;0;0;13;0;0,972626328468323;0;0;0;0;0;0;0;4
464;1981;0;3;0;3374;0;0;0;1;0;0;0;0;0;0;13;0;1,00310397148132;1;0;0;0;0;0;0;9
464;1982;0;4;0;3380;1;0;1;0;0;0;0;0;0;0;13;0;1,09963500499725;0;1;0;0;0;0;0;16
464;1983;0;5;0;3380;1;0;0;0;1;0;0;0;0;0;13;0;1,21458399295807;0;0;1;0;0;0;0;25
464;1984;0;6;0;3524;1;0;0;0;0;0;1;0;0;0;13;0;1,31924200057983;0;0;0;1;0;0;0;36
464;1985;0;7;0;3392;1;0;0;1;0;0;0;0;0;0;13;0;1,3897420167923;0;0;0;0;1;0;0;49
464;1986;0;8;0;3295;1;0;0;1;0;0;0;0;0;0;13;0;1,57353794574738;0;0;0;0;0;1;0;64
464;1987;0;9;0;2380;1;0;0;1;0;0;0;0;0;0;13;0;1,90069997310638;0;0;0;0;0;0;1;81
483;1980;0;5;0;1645;0;0;0;0;0;1;0;0;0;0;12;0;1,68262696266174;0;0;0;0;0;0;0;25
483;1981;0;6;0;2050;0;0;1;0;0;0;0;0;0;0;12;0;1,66170597076416;1;0;0;0;0;0;0;36
483;1982;0;7;0;2080;0;0;0;0;0;1;0;0;0;0;12;0;1,75504195690155;0;1;0;0;0;0;0;49
483;1983;0;8;0;2080;0;0;0;0;0;0;0;1;0;0;12;1;1,75345098972321;0;0;1;0;0;0;0;64
483;1984;0;9;0;2080;0;0;0;0;0;0;1;0;0;0;12;0;1,61800801753998;0;0;0;1;0;0;0;81
483;1985;0;10;0;2080;0;0;0;0;1;0;0;0;0;0;12;0;1,64817905426025;0;0;0;0;1;0;0;100
483;1986;0;11;0;2080;0;0;0;0;0;0;1;0;0;0;12;0;1,74589395523071;0;0;0;0;0;1;0;121
483;1987;0;12;0;2265;0;0;0;0;0;0;1;0;0;0;12;0;1,72708201408386;0;0;0;0;0;0;1;144
556;1980;0;2;0;1298;0;0;0;0;0;0;0;0;0;1;14;0;1,93934500217438;0;0;0;0;0;0;0;4
556;1981;0;3;0;2592;0;1;0;0;0;0;0;0;0;0;14;0;2,12026405334473;1;0;0;0;0;0;0;9
556;1982;0;4;0;2600;0;1;0;0;0;0;0;0;0;0;14;0;2,16050696372986;0;1;0;0;0;0;0;16
556;1983;0;5;0;2150;0;0;1;0;0;0;0;0;0;0;14;0;2,48925399780273;0;0;1;0;0;0;0;25
556;1984;0;6;0;2080;0;1;0;0;0;0;0;0;0;0;14;0;2,37569403648376;0;0;0;1;0;0;0;36
556;1985;0;7;0;2510;0;0;1;0;0;0;0;0;0;0;14;0;2,2958869934082;0;0;0;0;1;0;0;49
556;1986;0;8;0;3170;0;1;0;0;0;0;0;0;0;0;14;0;2,29908990859985;0;0;0;0;0;1;0;64
556;1987;0;9;0;2505;0;0;1;0;0;0;0;0;0;0;14;0;2,58187890052795;0;0;0;0;0;0;1;81
560;1980;0;2;0;2000;0;0;0;0;0;0;0;0;0;1;12;0;1,38684701919556;0;0;0;0;0;0;0;4
560;1981;0;3;0;1906;0;0;0;0;0;0;0;0;0;1;12;0;2,12758207321167;1;0;0;0;0;0;0;9
560;1982;0;4;0;1110;0;0;0;0;0;0;0;0;0;1;12;0;0,968870222568512;0;1;0;0;0;0;0;16
560;1983;0;5;0;2280;0;0;0;1;0;0;0;0;0;0;12;0;1,16359901428223;0;0;1;0;0;0;0;25
560;1984;0;6;0;1981;0;1;0;0;0;0;0;0;0;0;12;0;1,35661900043488;0;0;0;1;0;0;0;36
560;1985;0;7;0;2459;0;0;1;0;0;0;0;0;0;0;12;0;1,4162529706955;0;0;0;0;1;0;0;49
